command,admin,user,guest
!,True,,
?,True,True,True
benchmark,True,True,
claude-api,True,True,
claude-skill,True,True,
clear,True,True,True
compile-c,True,True,
costs,True,True,
echo,True,True,True
edit,True,True,
evaluate,True,True,True
git-commit,True,,
git-hooks,True,,
git-publish,True,,
git-status,True,,
git-sync,True,,
key-reconstruct,True,,
key-rekey,True,,
key-split,True,,
lint,True,True,
ls,True,True,True
manage-config,True,,
mark,True,True,
new,True,True,
pause,True,True,True
pip-upgrade,True,,
problems,True,True,True
progress,True,True,True
results,True,True,True
search,True,True,True
show,True,True,True
summary,True,,
sys-setup,True,,
test-cases,True,True,True
update-docs,True,,
update-models,True,,
user,True,,
user-authorize,True,,
users,True,,
